,sentence,label,predict_region,predict_label,predict_country,predict_city,region,country,city,Aleppo,Algiers,Alexandria,Amman,Aswan,Baghdad,Basra,Beirut,Benghazi,Cairo,Damascus,Doha,Fes,Jeddha,Jerusalem,Khartoum,Mosul,Modern Standard Arabic,Muscat,Rabat,Riyadh,Salt,Sana'a,Sfax,Tripoli,Tunis
0,وحق الرب الا العذاب عدنا الكورة حنا ف هاد إفريقي و كتسالي بالشوط التاني ديال البارصا و بيتيس و مول الحليب لاش كاين فاش كترجع بالزمن للوراء و تتقتل باك مكتختفيش و انما تتخلق جديدة او خط زمني جديد لي فيها مماتش باك اذن تتولد من جديد و الخط الزمني القديم متتولدش باش ميوقعش,TMS,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,2.98883253759414e-10,2.063553706370504e-06,6.421414880490755e-11,5.833635563379652e-10,2.472954422183452e-10,1.3757437469418587e-09,1.3133803196003895e-09,5.550895151790497e-10,4.778791373187552e-09,3.154555772639897e-09,1.3090282187658328e-09,1.9096532192399e-09,0.008340657013301743,3.5647358987320498e-09,9.081109460425955e-10,1.6307515376844356e-08,1.1670133504882195e-10,3.6416260136640325e-11,1.3290656314310808e-09,0.9916571479276416,2.079719543431424e-09,6.454549921534981e-09,1.2481847110680372e-09,3.483715155306054e-08,3.806930214172605e-08,1.0963898402516378e-08
1,الى رجعتي فالزمن للماضي..كايولي داك الماضي ليرجعتيليه نتا هوا المستقبل ديالك..والحاضر السابق ليكنتي فيه هوا الماضي ديالك ولي ميمكنش يتبدل بالمستقبل الجديد ليراك فيه....خط زمني أخر معندو تاعلاقة بلي قبل لا أخويا مكانديروش هكا هاد نوع مكنحسبهمش بشر,TMS,Maghreb,FES,Morocco,Fes,Maghreb,Morocco,The Moroccan Show,2.0415276403425642e-10,3.118675908758816e-07,2.6974058754052736e-11,4.24425671466027e-10,3.1198417413312364e-10,2.1874847145360959e-10,8.455649451632413e-11,3.548319970429957e-11,2.2644467697906032e-09,8.99468674198162e-10,4.834984918074265e-10,2.643319364670989e-10,0.9981431734154829,4.527789645958339e-09,2.0043049096657123e-10,2.6664060416413144e-09,3.540488686760717e-11,4.131578606709248e-11,1.3365471306659132e-09,0.0018564926490108676,4.534001879833335e-10,5.624198455423452e-10,1.8230334867594286e-10,1.1812570973727321e-09,3.6632669019765218e-09,1.9993031096103466e-09
2,مراكشية بي لايك ضحك ديال لقلاوي ياربي السلامة هاهوما جاو مقروصين غايجيو جاعرين بالجعورية و يكتبو الجملة الشهيرة راه غير خطة باش اعرف الاسرار ديالهم و يدمرهم العياشة كيضحكو لي طرا كيضحكو بيه ويطرو ليو بيه,TMS,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,7.349469679790216e-09,0.4539448593901629,1.2174449770948192e-09,1.2491828049425038e-08,9.686172476723009e-09,7.809342337166531e-08,7.373852103259344e-08,9.884549891290959e-09,4.931617599209142e-07,1.9258054744256868e-08,1.3909187725409487e-08,2.6776484280171258e-08,0.0003453301636568189,8.853141820211647e-08,1.445726186346216e-08,2.5720872370706566e-07,4.09389423207051e-09,1.5386572698838132e-09,5.241155806892848e-08,0.5456995715871293,1.1351668700350444e-07,1.535201149660311e-07,2.731695973102989e-08,5.099592456930902e-06,3.0156857156980625e-06,6.654187070964849e-07
3,تاثير الفراشة تخيل كن سمح محمد الخامس فالمقاومة ديال دزاير ومشا تفاوض على الاراضي ي اصلا مغربية غير اقتطتعها فرنسا وضمتها لدزاير و تخيل نتا دبا الارض لي كانت ديالك ولات كمخيم للواحد ناس باغين اقسمو ليك بلادك بنادم دبا تي قول علاش,TMS,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,1.9508947745825872e-09,0.0014931136731338808,6.395764534649284e-10,2.67185044261268e-09,5.567709308242762e-09,1.877297411893663e-09,2.3149410258392874e-09,6.445285124763482e-10,3.5610882846788687e-08,6.557111963876418e-09,2.665887029224429e-09,1.4166100805009702e-08,0.006842714107336367,3.02701397484382e-08,1.2159460518328287e-09,7.381621528328988e-08,7.955295224057025e-10,8.890616167512712e-10,2.1806855141228538e-08,0.9916638407674186,1.9121859258039034e-08,1.024043855802571e-08,5.806392380674442e-09,2.8056548698370134e-08,3.293955969811062e-08,3.182678440505684e-08
4,مامشاش محمد الخامس تفاوض على الاراضي مع فرنسا واش كون كنتي نتا بلاصتو ادير نفس البلان راه نفس اللعبة ديال اعتراف امريكا بالصحراء بصح مكنبغيش ندوز بلما ناكل بلا سوائل حسن ولا ندوز بلما ماشفيتش لي كايكمي مع الماكلة,TMS,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,7.386617545962179e-10,1.0766006481558195e-05,8.716507002731961e-11,4.987683435352415e-10,2.0826863631307766e-10,4.437050220784529e-10,6.112275795872739e-10,1.444352953502235e-10,4.779447388962509e-09,3.7186824325869167e-10,9.202168787125841e-10,1.0938077340091008e-09,0.3580777257161893,4.560147619693824e-09,2.522391946045498e-10,7.101913214001105e-10,1.9677853530581248e-10,3.3235095090927543e-11,7.213658778226392e-10,0.6419114644543917,4.3173564964649057e-10,1.5490324097322348e-09,6.451574104409096e-10,1.2443783674104066e-08,7.301912827718532e-09,5.079785624474085e-09
5,كاتلعب اونلاين اذن خصك دخل لهاد كروب كل نهار ماتشات فابور و لكن الهمزة ماشي اي ماتشات هنا فهاد الكروب فريق متخصصة فلعبة كيتفرجو فيهم او حافضين اللعابة كيفما كاتشوف فتصاور كوطاط الهربة دخل تأكد براسك نسبة التوقعات الصحيحة اكثر,TMS,Maghreb,FES,Morocco,Fes,Maghreb,Morocco,The Moroccan Show,3.296080105763235e-10,1.634237731470097e-07,2.24368179009871e-10,9.892154137181374e-10,6.433694351358214e-10,3.990118138564073e-09,3.601804707119042e-09,2.334059651365645e-10,2.5215515067709435e-08,8.922846291960763e-10,1.048695790708064e-09,3.963171768578462e-09,0.9999003509328753,4.957212108902345e-09,3.745332543692814e-10,4.052554168620152e-09,2.7457713451858864e-10,4.175119561603145e-11,1.2385459877714081e-08,9.937507122721792e-05,4.846216359698845e-09,1.291959102816372e-08,1.081700914128373e-09,1.3225984033867125e-08,1.1552099262892696e-08,3.728887802762482e-09
6,فاش كاتنوض من الفراش و تحيد التقاشر باش توضا واو هدشي كيقتل بدحك عين كتخرى وعين كتشوف الكاغيط مع الوقت ماتبقاش تلقاه حيتاش كنطلو على الغباء دياكم من الفوق الخوت شنو سميتو هاد خونا اللي فالفيديو مستوى الوزراء يا حصرة,TMS,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,1.0980372575706955e-08,1.0543080925974869e-05,1.0223106632547671e-09,5.61683658366693e-08,1.2081311598181148e-09,6.1613128210503405e-09,2.2619880520284683e-09,2.521295377742837e-09,1.4952768872639703e-07,4.6264829848646665e-09,5.286926326579006e-08,2.7696166502536474e-08,0.00825020880246874,7.699596949544992e-08,1.8830542588509523e-08,1.4789868863805212e-08,3.0022277143425644e-09,8.256131311431485e-11,9.536087414879151e-09,0.9917347072053833,1.3027560978700951e-08,2.842950999843507e-06,4.448471656664528e-09,1.0857875064872047e-06,7.91224437885047e-08,7.729360405478871e-08
7,كون غا خريتي و ماحطيتيش واش منيتك تادوي سير قارنها بين المدن الخرا وي بان ليك الفرق بديتو اتخورو حسدتي لي يلاه تي ديرو فيها جامعة وخا انا كاع ماشي ولد تما فاش كيليميني كيبغيو يديرو فيها ولاد الشعب زعما,TMS,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,3.446452977690922e-10,8.594627958397784e-06,5.704303029557062e-12,2.2844062715787204e-10,1.4447629716556928e-10,6.074942640068647e-11,6.719257319515804e-11,1.349926332385668e-10,2.5680976289072636e-09,2.2913914853547547e-10,5.90580455506551e-10,1.2199584312172203e-09,0.00012918852971847435,1.3014409107355004e-09,3.592456593740219e-10,1.2142867372482614e-09,6.168157624968781e-11,3.520634817394749e-12,2.7044321838268646e-10,0.9998621907223567,2.5796132155330374e-10,6.676005027154226e-10,4.1554509976901986e-10,4.227037064287559e-09,9.214699738820766e-09,2.5325271275639005e-09
8,ماشفتيش شلاضة بالخبز مشفتيش دلاح بالخبز عقلتي فاش كنا كنلعبو لفوق وكانت جدا كطيب الخبز وكنتي كتشدي خبز سخون كتمعسيه مع الما وكناكلوه من داك نهار مابقا كيعجبني الما مع الماكلة بغينا لخاوي بروجولة اما لي كايدوزو بتفال سطاج د الوحش هوما هادوك لي كاياكلو كسكسو بالخبز,TMS,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,1.9073807038391106e-09,6.591585058675352e-07,6.859521034394908e-11,1.0230263555098674e-09,4.718315520213017e-10,5.478501687908847e-10,5.585267082138099e-10,5.421510025335533e-10,2.2849780801344733e-09,4.669384034520914e-10,1.1996346522966204e-09,1.3727483482392196e-08,0.0005627431085800104,5.522050181462506e-09,7.846379559309875e-10,3.1930681242759786e-08,2.907679459664707e-10,7.004678179476285e-11,1.912714633034184e-09,0.9994364263693328,3.2152796169679046e-09,1.8216969385985323e-09,2.539042756375002e-09,6.672946269585869e-08,2.0229425587157983e-08,1.351937864323356e-08
9,شفت هاد طرول وانا نتفكرك و أنا اللي كاناكل كلشي حرفي و ما كاندوزش كتوحل ليا كندوز الدغمة لجنب للحنك و نتأكد أن الما ميقيصهاش عاد نشرب جغمة نسرح القوادس اصلا واخا نبغو نشوفو فيكم السحاب تي خبي لينا الشوف ملي كتكون فيك قل من ميطرو وثمانين فطول واخا يكون وجهو كي موكا والو مايتنازلش,TMS,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,3.4852140806260076e-10,5.208935199876656e-07,2.6827482083730407e-11,7.789550779209425e-10,1.4551943405825769e-10,1.1080758185280553e-10,1.565529637503974e-10,2.996540064476096e-10,1.5710662467872226e-08,5.644929679088103e-10,1.0015697410262645e-09,1.016932515059529e-09,0.277872501958927,5.223760584945187e-10,3.70051478473225e-10,1.1688573212913057e-09,4.094008994865648e-11,2.2837203527801204e-11,1.0085614112619614e-09,0.7221269421479308,1.6430544800127862e-10,2.5779375220865933e-09,2.4535544632365813e-10,1.0516102315070381e-09,4.630110901519568e-09,3.0361835230048234e-09
10,اشمن عياقة لعداب تغطي راسك بلمانط تعري رجليك دخل طوليط ضرب راسك تركب فطونبيل تسبق رجليك بجوج او تحني رسك عاد تخرج تكون غدي فطريق ضرب راسك مع شجر ودائما كتبقى منوي من شي حيط ليكون قصير تفركع راسك بيه ربي عاطيك شوية ديال بنادم حاسدك عليه,TMS,Maghreb,FES,Morocco,Fes,Maghreb,Morocco,The Moroccan Show,6.440608951002554e-08,4.4796686407941716e-06,2.8596382462357307e-09,3.433340252462852e-08,6.402837801233607e-09,6.206147506387882e-08,3.274103407308677e-08,8.741719309186687e-09,1.1626346677904399e-07,1.729694276833189e-08,6.419772326625601e-08,3.047994288875533e-08,0.9467101209936415,6.347103641226277e-08,1.0455399316982446e-08,4.338826938306769e-08,5.647260240535795e-09,9.354791831933227e-10,4.047351507547675e-08,0.053284415795877824,7.177949718340509e-09,7.96474692675778e-08,2.0891203699994215e-08,3.5438075315719385e-08,2.0440712675391665e-07,3.182478344540025e-08
11,رفاقجية باقين عايشين فسبعينات وتي جيو حداك فطوبيس تي بدا اعاود على كيفاش دابز مع الكنترول و دوك بطولات الضحك ديالو سولو ديك البنت ف قسم لي شاف أنها كبر من المستوى لي كتقرا فيه و قاليها نتي خاصك غي راجل واش عندها نفس الرأي خلا النفسية ديالها محطمة و مسخرة في القسم اتنمرو عليها,TMS,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,1.608314355504774e-10,0.0008458424802400407,7.841552511725454e-11,4.205383051023244e-10,5.124113013699738e-10,6.962728004506405e-11,3.337745891555901e-11,1.3958486264258544e-10,6.963206685889556e-09,2.80135815564269e-09,5.477655360990371e-10,6.201381154696248e-10,7.050703208279849e-05,7.203198079917684e-09,8.111016345637411e-10,6.746479559584783e-09,1.5855904364762137e-11,6.336866462830768e-11,1.0529971435872944e-09,0.99908360178412,2.211140810802896e-09,8.092927515709031e-10,6.155899883816662e-10,3.924767626753229e-09,8.855888515787317e-09,4.046621905384933e-09
12,منيتكم تانتوما تايسرحوكم بديك الهدرة راه اصلا فيروس كلا مرة تيتبدل غير الاعلام تي ضخم و تي لعبو علليك بجوج كليمات مجابدوش هاد تضخيم حتا بغاو اديرو لقاح واش هادا لي مكاد الميم قريتي ناس اش تي قولو راه قاليك اصلا لقاح فعال عليه لا اخلاق لاتربية البلاد مشات فالخسران احمادي,TMS,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,8.789467030738475e-10,1.1210389176557646e-07,1.4230647388664339e-11,9.694538888454554e-10,1.1745230056213478e-10,2.4691126768712877e-10,4.2853128427695254e-10,9.81160994639447e-11,1.979684918101111e-09,1.7304931926258255e-10,4.0406726120839505e-10,9.058377559767701e-10,0.00028481835156931803,2.5689664812137553e-09,1.8676277609199635e-10,7.613407235921574e-10,1.1256785295982275e-10,1.9774557766030288e-11,2.2276073362603042e-10,0.999715049503695,5.35190856930991e-10,1.6963292437079337e-09,4.561469725516994e-10,1.3680010939081835e-09,4.643324053383367e-09,1.2533970739202139e-09
13,أيهرب ليك غير تصنت ليه مزيان كولشي نسا الميم ديال راك غادي فالخسران آ حمادي الخاوي آخوتي حيت باغي نبقا معاهم فالدار مامبلوكيهومش ياقلالين الترابي بلان البروفيلات ديال التقدية فإنسطڭرام صدق ديال مرجان وحتى هادي طريقة ذكية باش تدير اشهار للاشهار لي دارو,TMS,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,3.1243676290024086e-10,1.4488852540154392e-06,3.034616492792592e-11,2.330505294636861e-10,1.3510303807148566e-10,1.6279130963722315e-10,9.356998637675625e-11,7.852889514560183e-11,2.0370227291247275e-09,2.663336596433469e-10,1.755965421722288e-10,4.704405411130611e-10,0.025269389105074747,8.519355076543554e-10,5.387179302185134e-11,6.339688068022072e-10,4.054804972165656e-11,1.7836634055281503e-11,1.6043588640483866e-10,0.9747291419843365,2.344838650197713e-10,2.5209693046936333e-10,1.4407503386817028e-10,1.982091877094201e-09,1.0062677377003033e-08,1.596092735545891e-09
14,هادي هي المدينة لي تيقولو عليها المراركة عامرة دخل لقنوات ديالهم ايبانو ليك ايجهلو مساكن لمغرب معقدهم فحياتهم غا يتبعوا مخالفين الحجر الصحي آرا ما يتعاود اش منك يا سطافيطات اش منك الدخلة ديال السبيطارات كاين بريكول ف رأس العام يعني هاد العام غادي يدوز بلا ما يخرج لينا شي مثلي جديد,TMS,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,7.451299680360537e-10,4.6119746138035894e-08,3.8635698811582524e-12,1.3116435801218813e-10,2.5636444552056312e-11,5.814119574914124e-11,9.511584677924045e-11,1.9077633051197656e-11,2.423187351354316e-10,6.76143110279522e-11,1.3370202957906343e-10,3.12901467734886e-10,0.023014233652778198,5.621439405777427e-10,2.174684969515224e-11,3.8893445657362986e-10,2.7022709265635206e-11,1.2905276464344024e-11,2.5230276359845956e-10,0.9769857146628363,4.3953036533577477e-11,2.0708066445200614e-10,7.639977529714365e-11,3.4060774856927655e-10,1.4833299778224861e-09,3.1354658054570587e-10
15,راس العام عندنا هو سكر نوض ضارب جرجر معاك البوليس كدور ليلة كحلة انا هو داك خونا لي عنذو بحال رأس السنة بحال اي يوم هادو واخا يكون شارع خاوي يعملك لايف يقولك اجواء هادئ مهم هو ينزلو شيحاجة المش ديالك مني كايشوفك كاتغمسي ليه الخبز فالمرقة,TMS,Maghreb,FES,Morocco,Fes,Maghreb,Morocco,The Moroccan Show,1.4483237335286406e-10,3.9516883534002923e-08,5.89239447823821e-11,1.0387053340524354e-10,2.1637771133384768e-10,6.673665447882253e-11,2.860712789600243e-10,2.5973856256590726e-11,2.2790342172442837e-09,5.541590555831228e-10,4.409242576800063e-11,3.565009346080724e-10,0.9863910134954257,7.392932440737575e-10,4.807375725536525e-11,1.1562862810034672e-08,2.5599214305379103e-11,2.042363013983892e-11,1.5954029775357584e-09,0.013608924174064523,2.337581771150911e-10,5.326455630779663e-10,3.1246838480130574e-10,1.9354621621503204e-10,3.204591171763618e-09,2.0838811906447278e-10
16,شي طلعة عاوتاني ديال شي اشهار التقرفيدة لي آدات لفقدان الصوسيصة اتولي سميتكوم كاملين ريك ابلاتي تبعو تبعو تا يوقعلك بحالو المدكورة بخير الله ينفعنا بنورها الصاطع العزيزة الغالية نتاع زيكي لحاجة لي مخلياني من لول نفكر فالخدمة فالنيت بعيدا على الطريطوار,TMS,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,5.465745855910793e-10,5.7838996460047064e-08,3.238339445510887e-11,2.6299524768623976e-10,2.34443771920395e-10,4.163182252636671e-10,2.122432975193397e-10,2.855365203153856e-10,2.0354054883588423e-09,2.643002445314436e-10,9.81112819005124e-10,5.309177014937049e-08,0.0005546957493638916,2.123316533449492e-09,1.7976118523982467e-10,2.424306725901281e-09,2.4105551394553774e-11,2.2745055975804768e-11,1.4830593794867991e-09,0.9994451739799348,5.094141534372992e-10,6.216417707960253e-10,4.782976725401174e-10,6.794057427022178e-10,4.986020413226808e-09,5.365469755437516e-10
17,بالنسبالي انسان قاري و مكتابش ليه يخدم خدمة لي كيستاحق و قام باللجوء لخدمة لي حلال باش يعاون راسو و واليديه ، راه يتسحق كل الاحترام و التقدير جيث كون كانت عندو معرفة صحيحة كون راه شاد بوسط مزيان و حتا لي مقاريش يستحق الاحترام الله يعفو علينا من فحال هاد العقليات,TMS,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,1.6971261673873615e-10,5.881478459685187e-07,2.112178846016687e-11,4.349107578255572e-10,8.746026408884906e-11,2.636695126749978e-10,2.0862003270759156e-10,1.6267315140873758e-10,2.5805808355497685e-09,3.7726802509429505e-10,4.341129979568059e-10,1.2483628312258513e-09,3.1168872485781495e-05,1.9082594441117814e-09,2.8739018769851356e-10,2.0843320493312396e-09,1.1772181704408823e-10,3.442334048706004e-11,4.642339498061438e-10,0.9999681932144359,1.9064867106590385e-09,3.914396759450073e-09,1.5787555755906796e-09,8.134155909320666e-09,2.0568774891539467e-08,2.7778090859915223e-09
18,أصلا البريكولات فيهم الصرف اكثر من الوظيفة هز بالة ومرمقها تتلصق هادشي علاش حنا مجتمع متخلف لي شاف فك شي شوفة ناقصة برقق موو او كمل خدمتك طيروني وحق رب بهد طرول من حقها غير باش تبين ليهم باللي القراية ضرورية فالحياة يربو في ولادوهم الطبقية ملي هما صغار كونو وعيين ومبعد تناسلو يا بشر,TMS,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,7.75736385406795e-07,6.671101410973563e-05,1.4611661517888275e-08,7.818206771572912e-07,1.637665218927169e-07,7.860044022855938e-07,6.900639444112526e-07,1.2810714209216206e-07,9.983296005554072e-06,1.2913961572406696e-07,5.591244898463909e-07,0.0008709604305171911,0.01306691107875694,5.721356494416307e-06,3.827326427919649e-07,6.421515429696705e-07,9.01864887071034e-08,1.505473752212257e-08,3.3202153889953144e-06,0.9855752327847398,7.115446557063121e-06,2.5305769452110477e-06,1.2267893070226784e-06,4.717176196440288e-05,0.0003282104465531487,9.746302408189948e-06
19,وقعات ليا كنت جيت غير نعاون الواليد وانا نسمع نفس العبارة غالبا كتلقاها خدامة فشي سونطر دابيل وكتقول لراجلها شيغي مجتمع مكلخ وغاتكون تا نتا مكلخ الا تسوقتي ليهم ماكانحملش هاد النوع و زيد عليه واحد النوع اخر لي كايقول هاهو راجلك الاستعدادات جارية,TMS,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,4.4919171391956917e-10,4.416223917798748e-07,9.083192217965318e-11,3.61066908286601e-10,4.979959457064776e-10,5.573877399258969e-10,4.517093858044353e-10,1.184050173155969e-10,1.140132031185653e-08,5.53186699307109e-10,5.284389156096805e-10,1.5068501128254913e-09,0.00020870525565710318,3.367463907766756e-09,1.2153914038455748e-10,2.182497191797934e-09,2.468563619472342e-10,2.3878528928083454e-11,7.284857759795375e-10,0.9997907938429624,7.653494810986183e-10,9.722184950671613e-10,7.323039406009879e-10,4.694915119345913e-09,2.592352541637804e-08,3.003570667612924e-09
20,ادن بنادم من هنا لفوق الخير اللي دير فولادك هو متولدهمش إيلا لا خرجتي من هاد البلاد باش ميديش الدنب فدوك الدراري و شكرا بحال الميدسين المهم لي بغا يتزوج يجمع راسو باش تجي شي أستاذة ولا طبيبة تخطبوا أش هاذ الظلم والسيطرة الذكورية للوظائف العمومية بغينا المناصفة,TMS,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,3.0629300512840576e-09,6.282911728151869e-06,4.6398140962031986e-11,1.2646079426056859e-09,1.178449974086154e-10,3.3678246301708276e-10,7.468626000987643e-10,1.5555218832104748e-10,2.344935740018529e-09,2.023221788539162e-10,9.072310614657886e-10,1.5469851538131034e-09,0.000526184530777756,1.9651214793539983e-09,2.3181512657251584e-10,1.503715917568642e-09,9.205835177790986e-11,8.592454404752172e-11,9.52275747542905e-10,0.9994675009767837,1.0293800346939962e-09,1.0397310398867757e-09,4.222155849043111e-10,5.74930010871109e-09,4.048486523343697e-09,3.728233375685141e-09
21,ستداتو وعاود حلنهاه صحة ودفلنا فيه ولحد الان باقي ديالنا فيه مغربية الصحراء زعما راني خاتر فالسياسة لي عول على عشا الجيران بايت جيعان بنادم كهضر بحالا الموقف دالمغرب شي حاجة وازنة فهاد العالم شكراً ليك صلاح ماغاديش نساوك الله يا وليدي كيتآنسبيراو من الطواليط أما حمام العيالات بزاف عليهم,TMS,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,2.7006675260179738e-11,2.4477495034384783e-07,1.2377847072971337e-11,6.234577032806621e-11,6.863483538742212e-11,4.26406422513076e-11,1.5612936836159723e-11,8.898037860889937e-12,5.137118401521517e-10,1.524499275689225e-10,1.0274661651819167e-10,1.4406521793598883e-10,7.944277537058163e-05,4.241263036187454e-10,1.3858372498392289e-11,3.5974715487924855e-10,6.208120878702552e-12,8.069705937774748e-12,5.970410163590224e-11,0.9999203091333378,1.6737797307931008e-10,6.420142421954303e-11,5.888482858125769e-11,2.193932799395873e-10,6.120638935443367e-10,1.7221574501143334e-10
22,ومن بعد ملي كايتزوج كايزيد مجال الطبخ وكايدي لقب أحسن والغريب فالأمر لقينا فمعدتها حلويات اللوز والكركاع غريب ممكن كانت فشي حفلة عجيب كل المؤشرات كا دل على أن المجرم حافظ سواريه على الرغم انها من عائلة فقيرة,TMS,Maghreb,FES,Morocco,Fes,Maghreb,Morocco,The Moroccan Show,1.7835948235574456e-08,1.148391260596986e-06,3.8886524814680924e-08,3.1890880642622587e-07,2.1455219480261487e-07,4.1016920645998614e-08,2.6098661133067194e-08,3.3328398028108852e-09,7.303990420424871e-07,8.925788615082327e-08,1.9848997801129717e-07,3.584060807629426e-07,0.9999227622266388,4.0137866398603696e-07,7.893763770611206e-08,1.965970762322299e-06,5.308680861733682e-09,5.691717092199472e-08,9.811802939892653e-06,6.13892634697547e-05,9.709310315388563e-08,1.8798073301784342e-07,1.4858378155715224e-08,5.1383336754739384e-09,3.039582570437275e-08,7.151518398965541e-09
23,درية لافاك عامها لخامس واحلة نوض نوض من لكدوب هوما من عامهم لول كيفاليديو كلشي ا بداكشي لي عل بالك ختك معاودا ليك كولشي برافو عليها داكشي علاش فايتا مجرباه مركات عليك نوض على سلامتك واخا أعمي هاني غادا,TMS,Maghreb,RAB,Morocco,Rabat,Maghreb,Morocco,The Moroccan Show,7.99668771586138e-10,3.961405746188027e-07,3.651589956047332e-10,2.22670642567918e-09,2.060822791026481e-09,3.640245084220692e-09,1.5201662433885077e-09,2.9490735928054864e-10,1.6244151672953146e-08,3.9131158945681115e-09,2.52233309941487e-09,4.479787984492566e-09,0.18491199783409026,1.2269671613825073e-08,1.368113455888002e-09,6.3462707324357e-08,3.2407511432812817e-10,3.151642472684464e-10,7.146624728311183e-09,0.8150873904018413,2.2186791262792677e-09,2.9554037754686366e-09,1.2807429552259697e-09,1.2770189717769362e-08,4.680526331404909e-08,2.6639793995837855e-08
